Date,Location,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2020-01-12,"Adilabad, Telangana, India",80,456.1754166666667,0.4583333333333333,11.532499999999999,73.98458333333333,14.119166666666667,64.31666666666666,71.24458333333332,7.498333333333332
2020-01-12,"Karimnagar, Telangana, India",127,720.2833333333333,1.47,17.6775,48.81666666666666,7.001666666666666,101.99416666666667,115.70458333333333,14.710833333333333
2020-01-12,"Khammam, Telangana, India",94,463.965,0.10875,6.395833333333333,56.23708333333334,3.2745833333333336,75.0475,81.25083333333333,3.192083333333333
2020-01-12,"Nizamabad, Telangana, India",93,584.5433333333334,0.41124999999999995,9.455416666666666,59.754999999999995,10.259166666666667,74.22,87.46875,15.049583333333333
2020-01-12,"Warangal, Telangana, India",111,641.7041666666667,0.20541666666666666,15.177916666666667,52.8225,6.458333333333333,88.81125000000002,98.95791666666666,5.284583333333333
2020-02-12,"Adilabad, Telangana, India",127,550.3304166666667,0.5875,14.9,79.9375,26.246666666666666,101.80416666666667,110.42041666666667,7.362916666666667
2020-02-12,"Karimnagar, Telangana, India",151,789.5429166666667,1.2091666666666667,26.81833333333333,75.0025,23.317083333333333,123.86166666666666,138.90041666666667,13.462083333333332
2020-02-12,"Khammam, Telangana, India",86,413.34,0.11625,4.984583333333333,59.28458333333333,2.16375,68.77708333333334,73.67041666666667,3.565
2020-02-12,"Nizamabad, Telangana, India",136,685.2354166666668,0.445,12.847499999999998,74.38083333333333,12.416666666666666,108.79875,124.92833333333334,25.23375
2020-02-12,"Warangal, Telangana, India",133,626.96375,0.34583333333333327,13.95875,69.6675,8.044166666666667,106.62666666666667,116.18166666666667,5.555
2020-03-12,"Adilabad, Telangana, India",138,544.2095833333334,0.65875,15.100833333333334,87.44083333333333,22.189166666666665,110.42916666666667,119.45333333333333,8.764166666666666
2020-03-12,"Karimnagar, Telangana, India",159,792.88125,1.3495833333333334,26.61791666666667,79.26333333333334,28.34,142.81583333333333,158.2175,16.455833333333334
2020-03-12,"Khammam, Telangana, India",151,517.50875,0.11833333333333333,6.569166666666667,83.4475,5.453333333333333,121.83083333333333,129.35083333333333,5.968333333333334
2020-03-12,"Nizamabad, Telangana, India",144,693.30125,0.45333333333333337,12.605416666666665,68.16916666666667,12.558333333333332,115.12083333333334,131.2725,20.719166666666666
2020-03-12,"Warangal, Telangana, India",145,624.5975,0.765,12.570833333333333,68.53750000000001,6.366666666666667,115.64625000000001,125.28125,7.027916666666667
2020-04-12,"Adilabad, Telangana, India",133,530.4433333333333,0.36541666666666667,14.997083333333334,89.79416666666667,24.111666666666665,106.7475,115.30708333333332,7.1570833333333335
2020-04-12,"Karimnagar, Telangana, India",156,768.2658333333334,0.5691666666666667,23.722916666666666,78.85666666666667,22.01375,136.69166666666666,149.93333333333334,16.602500000000003
2020-04-12,"Khammam, Telangana, India",151,520.29,0.17708333333333334,6.182916666666666,82.59833333333333,3.22,123.61916666666667,130.14625,6.6933333333333325
2020-04-12,"Nizamabad, Telangana, India",152,667.5725,0.25625,12.079583333333334,63.74,11.680833333333332,124.75291666666668,140.26458333333332,15.305833333333332
2020-04-12,"Warangal, Telangana, India",150,761.0329166666667,0.6395833333333334,20.24416666666667,51.92791666666667,7.139166666666667,120.08875,131.90125,15.441249999999998
2020-05-12,"Adilabad, Telangana, India",102,489.8325,0.2558333333333333,11.063749999999999,87.08333333333333,16.19333333333333,81.32291666666667,88.08166666666666,8.14
2020-05-12,"Karimnagar, Telangana, India",153,753.52375,1.0050000000000001,19.43916666666667,75.91041666666666,10.323333333333332,126.71458333333334,138.90916666666666,15.527499999999998
2020-05-12,"Khammam, Telangana, India",141,480.7916666666667,0.10625000000000001,4.602083333333334,71.4225,3.63875,112.92916666666667,119.24208333333333,2.517916666666667
2020-05-12,"Nizamabad, Telangana, India",124,622.5116666666667,0.30583333333333335,11.302083333333334,61.23583333333334,11.04875,99.36375,111.80250000000001,22.830416666666665
2020-05-12,"Warangal, Telangana, India",152,685.6525,0.315,12.671666666666667,65.67708333333333,3.7475,126.01583333333333,136.10166666666666,6.591666666666666
2020-06-12,"Adilabad, Telangana, India",84,437.6779166666667,0.18999999999999997,10.043750000000001,74.37291666666667,10.535833333333333,67.54958333333333,72.92875,7.649583333333333
2020-06-12,"Karimnagar, Telangana, India",156,756.1645833333333,0.7733333333333333,18.67625,75.80208333333333,7.3975,135.61958333333334,147.32958333333332,18.432083333333335
2020-06-12,"Khammam, Telangana, India",127,422.93625,0.06083333333333333,3.6804166666666664,73.44791666666667,2.43125,101.22625,106.26583333333333,1.8620833333333333
2020-06-12,"Nizamabad, Telangana, India",138,571.3308333333333,0.3575,8.19,80.13458333333334,11.07,110.57208333333334,121.18374999999999,12.943333333333333
2020-06-12,"Warangal, Telangana, India",146,670.7704166666666,0.4083333333333334,15.937083333333334,58.4475,2.7895833333333333,116.80958333333332,125.83541666666667,10.32
2020-07-12,"Adilabad, Telangana, India",141,551.3041666666667,0.34249999999999997,15.52125,91.46333333333332,32.11875,112.94166666666666,121.04708333333333,9.02125
2020-07-12,"Karimnagar, Telangana, India",150,724.73375,0.5566666666666668,26.520833333333332,61.35583333333333,16.524166666666666,120.70833333333333,134.08333333333334,11.651666666666666
2020-07-12,"Khammam, Telangana, India",108,424.7441666666667,0.07708333333333334,4.167916666666667,71.21249999999999,2.907083333333333,86.23666666666666,91.66333333333334,2.1416666666666666
2020-07-12,"Nizamabad, Telangana, India",153,697.0575,0.47625,12.188333333333333,66.2475,8.913333333333332,127.91333333333334,143.03166666666667,22.097083333333334
