Date time,Location,Minimum Temperature,Maximum Temperature,Relative Humidity
2023-03-04,Adilabad,39.3332505635736,39.33324515037959,23.20948007536708
2023-03-05,Adilabad,34.055565725648,39.666638745732556,29.089527296682103
2023-03-06,Adilabad,36.33332522668718,36.333339914536246,21.020171371186205
2023-03-07,Adilabad,31.333353197024866,36.33333531379162,36.19938935004998
2023-03-08,Adilabad,35.05554278047347,35.0555619057159,45.01936005958781
2023-03-09,Adilabad,29.833353455586103,38.16665471090809,48.61958374226761
2023-03-10,Adilabad,30.055557565527593,38.83332706481849,45.70996946006273
2023-03-11,Adilabad,32.66665609139748,37.05556266164146,45.600009258782656
2023-03-12,Adilabad,30.05556584097468,31.66669634066792,59.139438448243354
2023-03-13,Adilabad,29.83334150337219,32.33335052015783,70.69935866509049
2023-03-14,Adilabad,31.166701687258406,31.833378376829668,56.150648621949394
2023-03-15,Adilabad,49.50000227519664,49.722236038639494,77.58479172015603
2023-03-16,Adilabad,26.777962518063788,32.38904502832017,56.8914585059194
2023-03-17,Adilabad,32.29184559465119,31.0082863750765,41.63090623330274
2023-03-18,Adilabad,27.91116147010021,35.84445016514619,53.9779403376706
2023-03-19,Adilabad,33.511754322305976,35.63307121300248,55.3702118325929
2023-03-20,Adilabad,28.092577572038987,39.349953737005265,48.082601427125354
2023-03-21,Adilabad,31.075717107274475,37.062947258550636,49.24065093125034
2023-03-22,Adilabad,33.62206109663291,36.61085034960192,49.764074965153306
2023-03-23,Adilabad,29.60894510323246,28.94033852278056,71.4207354378968
2023-03-24,Adilabad,30.142057331123034,34.2771334129937,71.53212855060568
2023-03-25,Adilabad,32.74867826562627,34.59363326082731,43.66232725942838
2023-03-26,Adilabad,31.704473792691417,34.1179980650846,58.80490819907093
2023-03-27,Adilabad,35.55245540209008,38.78840109125297,37.995140437677435
2023-03-28,Adilabad,32.13743745295396,40.39772838539626,33.75425113264036
2023-03-29,Adilabad,35.19288765055925,40.65537496962068,26.635732672357737
2023-03-30,Adilabad,30.520476175016167,39.64696959595502,42.294835457003025
2023-03-31,Adilabad,37.63492741549876,38.75874274549573,28.693968211300312
2023-04-01,Adilabad,33.81541867893121,38.33070457423014,40.92070026653421
2023-04-02,Adilabad,33.281085178990715,40.764425120783216,37.2878085301835
2023-04-03,Adilabad,34.26585621667353,33.60667813553976,51.954141240897485
2023-04-04,Adilabad,31.883889517759,34.19979000934479,54.72023616696312
2023-04-05,Adilabad,33.61406818492985,38.00720132752165,49.932311834939604
2023-04-06,Adilabad,32.45971935478606,36.65158002777761,44.64495133547747
2023-04-07,Adilabad,32.814602435475294,36.086429667944955,50.903202748992186
2023-04-08,Adilabad,34.22963706353088,36.95182837103679,39.405942578918996
2023-04-09,Adilabad,28.070279939517334,36.01807355972978,63.328238865787185
2023-04-10,Adilabad,30.904851473079564,35.83758057998355,45.60888577743748
2023-04-11,Adilabad,29.101473671058603,33.70061689634045,67.45993896830011
2023-04-12,Adilabad,29.333649908243764,34.341810226513076,61.4610503788066
2023-04-13,Adilabad,28.183109964819536,35.74382521345401,63.315277811561074
2023-04-14,Adilabad,27.872504021435617,33.51770744201162,67.57398352014444
2023-04-15,Adilabad,28.414799193977373,29.330951333007352,74.19456530651257
2023-04-16,Adilabad,27.559634118387432,31.98113366804595,77.39303941472993
2023-04-17,Adilabad,27.223848354976845,31.800457254855008,74.82704520080435
2023-04-18,Adilabad,28.4426795626052,30.875458710316313,72.77137150611888
2023-04-19,Adilabad,24.476058110889202,27.71657714476177,88.28889513810924
2023-04-20,Adilabad,26.96802766332316,30.412150110735645,73.9452877558858
2023-04-21,Adilabad,27.08691826124014,33.23106352790244,65.72496915577098
2023-04-22,Adilabad,27.011368363061173,30.926882419391603,76.52718262001073
2023-04-23,Adilabad,27.106749587620964,33.50817439750298,69.74739350398798
2023-04-24,Adilabad,28.830987604368648,32.54587142353341,70.78397248879222
2023-04-25,Adilabad,25.20935529714265,28.811447491800408,87.2303039140218
2023-04-26,Adilabad,25.968914336300372,31.50412452350489,75.09819841482191
2023-04-27,Adilabad,25.250608861860254,27.311181917136153,90.17842336300366
2023-04-28,Adilabad,26.099951148743788,33.78850372188975,70.34151843413903
2023-04-29,Adilabad,25.591761349547202,31.804586416206142,74.73412761888444
2023-04-30,Adilabad,29.989590356652855,31.858282638086703,62.24450438374916
2023-05-01,Adilabad,25.40360522585963,28.54153276436974,87.85243813639192
2023-05-02,Adilabad,27.67150598372127,31.259201853058038,66.1905524465609
2023-05-03,Adilabad,27.191554725041343,31.913851563502735,73.96593202950845
2023-05-04,Adilabad,28.468569195886676,32.16730005083392,66.16068757387741
2023-05-05,Adilabad,28.774288948506868,31.617932324554626,70.2033372513751
2023-05-06,Adilabad,28.380120114117517,29.8495567623206,78.68647983932534
2023-05-07,Adilabad,30.54777198126287,32.49343930190796,61.538199668453224
2023-05-08,Adilabad,29.408171882992203,30.856281233096695,75.22626750585573
2023-05-09,Adilabad,28.91556891149534,28.544112531037673,79.49328802355285
2023-05-10,Adilabad,28.725546956330973,31.751652711028406,70.82240001294926
2023-05-11,Adilabad,27.598497824580974,31.328526215060524,71.88641067175224
2023-05-12,Adilabad,29.90097873125229,31.889616293720227,63.113387482394174
2023-05-13,Adilabad,27.85492256813152,30.598418120011626,74.48708951545106
2023-05-14,Adilabad,28.957066784176188,31.862263727438677,67.17310210551801
2023-05-15,Adilabad,29.568628399436463,33.13637031267182,69.48816124795906
2023-05-16,Adilabad,26.443002768632166,27.664129108207206,87.86851231275222
