Date,District,temp_min (⁰C),temp_max (⁰C),humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2018-01-01,Adilabad,11.2,30.43684210526316,25.721052631578942,75.48421052631579,0.25,9.627777777777778
2018-01-02,Adilabad,12.426315789473684,33.62105263157895,13.842105263157896,57.2842105263158,0.0,9.6
2018-01-03,Adilabad,20.13157894736842,37.04736842105263,15.736842105263158,45.57368421052632,0.0,11.227777777777778
2018-01-04,Adilabad,26.14736842105264,40.43157894736842,9.0,72.45263157894736,0.0833333333333333,16.6
2018-01-05,Adilabad,29.168421052631583,43.08421052631579,11.38421052631579,39.2,0.2666666666666666,18.72777777777777
2018-01-06,Adilabad,25.71052631578948,39.79473684210527,33.91052631578947,74.56842105263158,2.316666666666667,24.87777777777778
2018-01-07,Adilabad,25.221052631578942,34.98947368421052,51.72631578947368,81.2,0.05,12.0
2018-01-08,Adilabad,24.36842105263158,31.657894736842103,62.2842105263158,88.98421052631579,0.1611111111111111,13.738888888888887
2018-01-09,Adilabad,22.64210526315789,26.721052631578942,83.0421052631579,93.67368421052632,0.0,14.8
2018-01-10,Adilabad,21.93030303030304,34.39090909090909,51.127272727272725,93.55454545454546,0.0,6.459375
2018-01-11,Adilabad,18.96315789473684,31.84210526315789,45.21052631578947,90.66315789473684,0.0,12.616666666666667
2018-01-12,Adilabad,14.221052631578948,30.1,36.78421052631579,84.9421052631579,0.0111111111111111,8.416666666666666
2018-01-13,Adilabad,14.536842105263156,32.88421052631579,24.13157894736842,67.91578947368421,0.0,7.716666666666667
2018-01-14,Adilabad,15.13684210526316,33.11052631578948,18.61578947368421,63.52105263157896,0.2555555555555555,9.61111111111111
2018-01-15,Adilabad,17.621052631578948,33.857894736842105,23.821052631578947,65.38421052631578,0.0111111111111111,7.311111111111111
2018-01-16,Adilabad,14.294736842105264,33.48947368421052,27.831578947368417,73.53684210526316,0.0,8.649999999999999
2018-01-17,Adilabad,12.84736842105263,32.300000000000004,23.93684210526316,70.22105263157896,0.0111111111111111,9.711111111111112
2018-01-18,Adilabad,14.057894736842108,32.89473684210526,24.652631578947368,66.91578947368421,0.0722222222222222,9.727777777777778
2018-01-19,Adilabad,11.057894736842105,31.3,22.88421052631579,64.66842105263159,0.2222222222222222,12.05
2018-01-20,Adilabad,10.3,30.96315789473684,20.03684210526316,67.16315789473684,0.0388888888888888,10.011111111111113
2018-01-21,Adilabad,11.089473684210526,31.26842105263158,19.357894736842105,68.0578947368421,0.0333333333333333,9.75
2018-01-22,Adilabad,11.521052631578948,31.105263157894736,22.026315789473685,71.51052631578948,0.0,9.672222222222222
2018-01-23,Adilabad,13.973684210526317,32.1578947368421,22.152631578947368,74.8578947368421,0.0,8.277777777777779
2018-01-24,Adilabad,16.55263157894737,31.96315789473684,29.347368421052632,70.08421052631579,0.0277777777777777,11.85
2018-01-25,Adilabad,11.842105263157896,30.90526315789474,26.31578947368421,67.6421052631579,0.0666666666666666,12.227777777777778
2018-01-26,Adilabad,9.56315789473684,30.27368421052632,19.63684210526316,65.35263157894737,0.0,9.822222222222225
2018-01-27,Adilabad,10.06315789473684,30.9,17.863157894736844,67.23684210526316,0.05,10.011111111111113
2018-01-28,Adilabad,11.15263157894737,31.489473684210523,16.310526315789474,60.58947368421053,0.05,8.266666666666667
2018-01-29,Adilabad,12.426315789473684,32.5,19.58421052631579,64.21578947368421,0.0,9.977777777777778
2018-01-30,Adilabad,12.389473684210529,32.18421052631579,18.91578947368421,64.62105263157895,0.05,11.305555555555555
2018-01-31,Adilabad,12.236842105263158,32.49473684210526,18.152631578947368,62.92105263157895,0.0277777777777777,11.71111111111111
2018-02-01,Adilabad,11.810526315789474,31.173684210526314,24.257894736842104,75.95263157894736,0.3333333333333333,8.316666666666666
2018-02-02,Adilabad,12.273684210526316,33.73157894736842,13.284210526315787,56.57368421052632,0.05,11.338888888888889
2018-02-03,Adilabad,20.26842105263158,36.98421052631579,15.589473684210526,48.37894736842105,0.05,12.155555555555557
2018-02-04,Adilabad,22.6,38.33684210526316,19.789473684210527,60.4,0.2111111111111111,15.4
2018-02-05,Adilabad,27.331578947368417,43.23684210526316,12.510526315789471,65.39999999999999,0.1111111111111111,21.077777777777776
2018-02-06,Adilabad,26.01052631578948,39.48947368421052,33.93157894736842,72.87894736842105,0.4222222222222222,15.994444444444444
2018-02-07,Adilabad,23.7,34.857894736842105,53.82105263157895,93.07894736842104,0.0,17.061111111111114
2018-02-08,Adilabad,24.06842105263157,32.78421052631579,57.37894736842105,91.18947368421053,0.5222222222222223,17.577777777777776
2018-02-09,Adilabad,23.23684210526316,29.91578947368421,70.36315789473684,94.27368421052633,0.0,16.6
2018-02-10,Adilabad,21.996969696969696,34.93030303030303,46.13636363636363,91.87272727272727,0.0,9.50625
2018-02-11,Adilabad,18.94736842105263,32.91052631578947,45.45789473684211,90.9842105263158,0.0,11.4
2018-02-12,Adilabad,12.952631578947368,29.36315789473684,39.15263157894736,86.7578947368421,0.0,7.050000000000001
2018-02-13,Adilabad,18.389473684210525,31.247368421052634,41.742105263157896,90.67894736842106,0.1888888888888888,17.227777777777778
2018-02-14,Adilabad,17.28421052631579,30.91052631578948,39.86315789473685,88.51052631578948,0.4555555555555555,12.077777777777778
2018-02-15,Adilabad,16.11578947368421,29.3,44.67894736842105,86.17368421052632,0.4333333333333333,11.216666666666669
2018-02-16,Adilabad,13.784210526315787,31.21052631578948,29.152631578947368,77.3157894736842,0.0611111111111111,9.216666666666669
