Date,Location,Minimum Temperature,Maximum Temperature,Relative Humidity
2023-03-04,Adilabad,0.0,0.0,0.0
2023-03-05,Adilabad,34.05548527340839,39.666577557850545,29.089349383391525
2023-03-06,Adilabad,36.33331279108739,36.333321732403675,21.020097920603533
2023-03-07,Adilabad,31.33335071449593,36.33332987549235,36.1993607672285
2023-03-08,Adilabad,35.055542947418374,35.055560272738376,45.01934742911873
2023-03-09,Adilabad,29.833352889929525,38.16665412145829,48.619576217558155
2023-03-10,Adilabad,30.05555774185085,38.83332668231696,45.709961625154705
2023-03-11,Adilabad,32.66665625800398,37.05556184743778,45.59999641881074
2023-03-12,Adilabad,30.055564822273837,31.666693721456536,59.139410280527024
2023-03-13,Adilabad,29.833336598502434,32.33334164829327,70.69928744206398
2023-03-14,Adilabad,31.16666722654257,31.833348925471714,56.15046901667377
2023-03-15,Adilabad,29.833373911051705,30.055604623810904,65.98001298484921
2023-03-16,Adilabad,49.08332643920092,51.88889171778885,65.55544602560451
2023-03-17,Adilabad,34.33345078853291,32.00017457605989,38.90285537532096
2023-03-18,Adilabad,29.162156577484144,37.188461885787646,51.80370937935733
2023-03-19,Adilabad,34.47330964116592,36.786255782946846,53.35815939987263
2023-03-20,Adilabad,28.717519381716787,40.31084052507479,46.1607826321101
2023-03-21,Adilabad,31.564597279819466,37.75343822024054,47.757883277999284
2023-03-22,Adilabad,33.92509787985878,37.179581101876735,48.60576547108329
2023-03-23,Adilabad,29.80313478071608,29.36907744230071,70.60230137338688
2023-03-24,Adilabad,30.293755117996124,34.61786869710375,71.00801358837359
2023-03-25,Adilabad,32.81418429788919,34.75599754610241,43.69258022290281
2023-03-26,Adilabad,31.477396761164787,33.81331933210584,59.952745197980505
2023-03-27,Adilabad,33.642125604777185,37.103101644900086,41.618519139634614
2023-03-28,Adilabad,34.45173151500684,42.35017400555617,28.28398983131636
2023-03-29,Adilabad,36.21943863032958,41.3090127636668,25.363787311478006
2023-03-30,Adilabad,31.163225342343644,40.133649794388795,41.38752922248011
2023-03-31,Adilabad,38.17920798668047,39.15293387175739,27.8082884081731
2023-04-01,Adilabad,34.141329675220526,38.64521951212405,40.24428738176221
2023-04-02,Adilabad,33.50766418689171,41.031135815190225,36.73797668659691
2023-04-03,Adilabad,34.411997399728584,33.81036813629917,51.55014766799229
2023-04-04,Adilabad,31.98829140823369,34.37559965659028,54.389165913233356
2023-04-05,Adilabad,33.704414145715134,38.129697287838226,49.73251533487393
2023-04-06,Adilabad,32.49195134819472,36.702807248649975,44.71346387042483
2023-04-07,Adilabad,32.700682047448154,35.939380289312346,51.45475478238288
2023-04-08,Adilabad,32.98168697985115,36.17472888730526,41.20669121025952
2023-04-09,Adilabad,29.981691441288156,37.151504420408315,58.64402430152003
2023-04-10,Adilabad,31.867988511975557,36.21797686160498,44.09241194068526
2023-04-11,Adilabad,29.77437656033665,33.983972083880886,66.32749688484259
2023-04-12,Adilabad,29.800478594684087,34.57317875566445,60.54065422751656
2023-04-13,Adilabad,28.532682580403307,35.9418757777095,62.540127061022794
2023-04-14,Adilabad,28.116350383965393,33.67012882281809,66.97572156579636
2023-04-15,Adilabad,28.56811353029307,29.465201324124614,73.70370040432168
2023-04-16,Adilabad,27.659900892403986,32.09772061547146,77.01390619928176
2023-04-17,Adilabad,27.271182154758712,31.874834386484167,74.62602889244371
2023-04-18,Adilabad,28.478305025037127,30.9066880096994,72.80046392837387
2023-04-19,Adilabad,24.352276794052813,27.605630114664525,88.87504108530678
2023-04-20,Adilabad,25.864953149753152,29.893244153589507,75.7839873506507
2023-04-21,Adilabad,28.34143797515287,33.72634812278029,62.836671111668906
2023-04-22,Adilabad,27.562549875177332,31.094717430878642,75.87308135962463
2023-04-23,Adilabad,27.490424177961206,33.66579359279092,69.14948088275298
2023-04-24,Adilabad,29.12308009338077,32.68268767561038,70.29181452709521
2023-04-25,Adilabad,25.402520310330775,28.912236407561117,86.835798956271
2023-04-26,Adilabad,26.13929427529403,31.583725263023133,74.77732853267602
2023-04-27,Adilabad,25.353989631232608,27.3833640316511,89.93834055533345
2023-04-28,Adilabad,26.168221866278074,33.83559095558441,70.18210688016012
2023-04-29,Adilabad,25.603844614696854,31.836787506345765,74.72060872220963
2023-04-30,Adilabad,29.957932993830557,31.861250473560457,62.393066297098486
2023-05-01,Adilabad,25.256212914170742,28.467986273467208,88.29877331192539
2023-05-02,Adilabad,26.842203951266633,30.90731896076571,67.36979401928768
2023-05-03,Adilabad,28.098860797593645,32.325125785800516,71.99006754653894
2023-05-04,Adilabad,28.912875146805465,32.33777291060637,65.50983845037787
2023-05-05,Adilabad,29.068350982417787,31.75545219030417,69.70059331414758
2023-05-06,Adilabad,28.56708277455892,29.95673908000316,78.29458520570564
2023-05-07,Adilabad,30.70934336648333,32.59711870035921,61.16052749138352
2023-05-08,Adilabad,29.471899860264624,30.93767580198947,74.9795363493815
2023-05-09,Adilabad,28.965620995050433,28.635170438137102,79.22861911169807
2023-05-10,Adilabad,28.76233325041518,31.80403024400304,70.67303194815037
2023-05-11,Adilabad,27.637343899438925,31.365200179601032,71.8222916884948
2023-05-12,Adilabad,29.890780309761006,31.884498274466818,63.2746634223821
2023-05-13,Adilabad,27.7591836561496,30.51600724291723,74.92459620774031
2023-05-14,Adilabad,28.231440814577272,31.518551831884764,68.41131031351401
2023-05-15,Adilabad,30.364509623175557,33.52399280628502,67.50077172589164
2023-05-16,Adilabad,26.7730388576899,27.77992918410024,87.40844254025367
2023-05-17,Adilabad,27.5588475901083,29.883246816859064,81.13084671734862
2023-05-18,Adilabad,28.515279262046185,29.584626806292903,82.38901219082724
2023-05-19,Adilabad,27.23571719702022,30.525913146144468,80.18796647778517
2023-05-20,Adilabad,26.32811963576878,30.036774321039353,88.85697957721156
2023-05-21,Adilabad,26.554599592538267,29.076321828273656,85.29921249055468
2023-05-22,Adilabad,26.3836776195814,30.658884024342942,84.2527559714305
2023-05-23,Adilabad,25.94395559271749,28.831046747512783,88.05066897489885
2023-05-24,Adilabad,27.808773113298017,28.48522651819595,86.98947170527816
2023-05-25,Adilabad,24.94418165088144,26.05771819475738,95.8891267197011
2023-05-26,Adilabad,27.417682185257753,30.02490727265341,78.6215124943617
2023-05-27,Adilabad,28.45859504883865,31.703482669885435,75.6850594666071
2023-05-28,Adilabad,28.46429659511082,29.687460744948027,80.16394187951681
2023-05-29,Adilabad,27.99122159907039,30.996694083908313,75.55080071119268
2023-05-30,Adilabad,28.18613004425452,29.351931273450422,81.13971797844498
2023-05-31,Adilabad,25.91952078765021,27.569658492542697,94.30902041147617
2023-06-01,Adilabad,25.043231123409793,27.17473726181036,94.20250958269263
2023-06-02,Adilabad,24.48755030610537,25.72076337075604,92.20763364443896
2023-06-03,Adilabad,25.85639899876662,30.290306816854628,79.41939402476696
2023-06-04,Adilabad,26.002279525213414,29.506358192877336,77.6446860289478
2023-06-05,Adilabad,28.284820549011155,29.41549063466165,73.39097050797774
2023-06-06,Adilabad,25.35360630602227,28.515995200415595,81.41734107922267
2023-06-07,Adilabad,27.345534299906785,29.339515884861655,71.37536820662396
2023-06-08,Adilabad,26.58759267775507,30.57971266500324,72.54439914187115
2023-06-09,Adilabad,27.420437458634034,28.453259312298417,75.36737889564655
2023-06-10,Adilabad,26.744399264199224,28.30327679752624,80.54108344665198
2023-06-11,Adilabad,27.30368332775805,28.72121686249211,80.0063297766356
2023-06-12,Adilabad,26.100869071939645,28.79610878260165,80.73961062330221
2023-06-13,Adilabad,25.817185873539856,28.7401459912425,81.9066333895119
2023-06-14,Adilabad,26.511958524700145,28.041413411488456,80.27680782083957
2023-06-15,Adilabad,26.47913815807903,29.67356340008456,75.41412997809063
2023-06-16,Adilabad,25.916210789451746,30.197665708846806,78.88628919747981
2023-06-17,Adilabad,27.438696619691488,27.478791578681875,86.51331222873479
2023-06-18,Adilabad,24.557977151294033,26.996695958717073,93.05613434338942
2023-06-19,Adilabad,28.10754859676024,31.593473497693505,71.95037178032557
2023-06-20,Adilabad,27.751891038276078,30.96732830148763,77.12413212672185
2023-06-21,Adilabad,28.213030038548776,29.6800933315398,75.3759992003569
2023-06-22,Adilabad,27.961988514387112,30.090143076398668,74.60768412304806
2023-06-23,Adilabad,29.426884203238615,31.955289516034068,65.74731801209747
2023-06-24,Adilabad,28.09217343370517,30.759181318041247,76.63116989536745
2023-06-25,Adilabad,26.933555485725105,30.84451767118931,77.73191284522271
2023-06-26,Adilabad,26.396444324560317,26.945088220538352,89.10860856325293
2023-06-27,Adilabad,25.83601960080181,30.544836443576326,83.03317329287313
2023-06-28,Adilabad,24.871478119629913,26.4400087103386,92.40560991687647
2023-06-29,Adilabad,26.076708464143717,27.543518195218773,90.02703202952384
2023-06-30,Adilabad,24.204926014537612,26.780072413177145,94.3772154467975
2023-07-01,Adilabad,25.71055214080812,29.290681257658054,79.12401004862375
2023-07-02,Adilabad,26.20560302812717,31.01002649829328,77.2455726221119
2023-07-03,Adilabad,26.59220894183987,27.76226346608418,81.64488480430981
2023-07-04,Adilabad,26.602609206043148,28.81490917662176,79.7927153304915
2023-07-05,Adilabad,28.392643586304466,30.199273075758935,76.28918587817662
2023-07-06,Adilabad,27.36449867943432,29.779717842558465,79.35002879696845
2023-07-07,Adilabad,26.7161772484371,27.665103477092213,84.67901144354487
2023-07-08,Adilabad,27.561382684184565,29.11776774632559,75.18249652936642
2023-07-09,Adilabad,26.69392930507598,29.425022133451883,82.43598906683995
2023-07-10,Adilabad,25.453471961429436,26.82210841995549,94.0820648428471
2023-07-11,Adilabad,27.065177663369536,27.429289712682916,86.12516978418417
2023-07-12,Adilabad,24.771125589545164,26.943748839065382,93.69099166081965
2023-07-13,Adilabad,26.66466182366755,28.58783265462578,83.16512638853229
2023-07-14,Adilabad,27.259268379045622,29.08908690597491,82.95376980672414
2023-07-15,Adilabad,26.300929044132317,26.5421910012696,90.78258775578755
2023-07-16,Adilabad,25.974296682240112,28.807084630109763,84.97497316471919
2023-07-17,Adilabad,26.58706994625682,27.78180087957599,89.1073332622287
2023-07-18,Adilabad,25.429940231277712,26.045377424863002,93.11083778625992
2023-07-19,Adilabad,24.051496399420536,25.86603261093627,99.39667171629252
2023-07-20,Adilabad,25.4874246613698,27.003102205550384,84.80133801935845
2023-07-21,Adilabad,25.836064606158555,29.334099230514706,83.15075077828897
2023-07-22,Adilabad,25.65136183588831,28.209220102990173,85.60768284324934
2023-07-23,Adilabad,27.257229621132453,28.824321556130773,85.9276114920576
2023-07-24,Adilabad,26.35926532337541,29.060780848138336,83.91510651340474
2023-07-25,Adilabad,27.315149236747136,29.47089282715344,81.32984485549407
2023-07-26,Adilabad,27.060357278072114,29.817876799245624,80.76123664028933
2023-07-27,Adilabad,27.654624612465163,28.00207632614626,83.18342427151156
2023-07-28,Adilabad,26.998225596755244,29.225490760077825,83.42430188607183
2023-07-29,Adilabad,28.023453904094673,29.591613531794184,78.94658235272144
2023-07-30,Adilabad,27.054864212725775,29.09723220975514,83.5219579474579
2023-07-31,Adilabad,26.92570338584637,28.92840052645125,82.70811797788924
2023-08-01,Adilabad,25.887187465829474,28.133398862361577,88.20158367769207
2023-08-02,Adilabad,25.478147444059957,29.00946511015128,87.73125358907699
2023-08-03,Adilabad,25.030490130767564,27.073539912174624,94.72858964065392
2023-08-04,Adilabad,26.513291258868247,28.017015131232082,89.95741312349611
2023-08-05,Adilabad,25.937664273585597,28.0055166256525,88.91202137967848
2023-08-06,Adilabad,26.714248759705676,29.95341705365584,79.8805551218438
