,Date,Location,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
20,2019-01-21,Adilabad,24.833333333333336,24.833333333333336,24.833333333333336,47.4,35.49,81.85,2.2,,140.0,,0.0,0.0,,2.5,0.0,1016.7,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
21,2019-01-21,Adilabad,24.833333333333336,28.05555555555556,26.444444444444443,49.5,34.89,81.2,2.2,,140.0,,0.0,0.0,,4.3,0.0,1013.7,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
22,2019-01-22,Adilabad,21.83333333333333,29.05555555555556,25.444444444444443,58.8,54.99,83.2,1.1,,140.0,,0.0,0.0,,4.3,0.0,1014.3,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
23,2019-01-23,Adilabad,20.666666666666668,28.83333333333334,24.77777777777777,58.8,56.36,83.5,2.2,,95.0,,0.0,0.0,,4.3,0.0,1012.6,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
24,2019-01-24,Adilabad,21.05555555555556,29.833333333333336,25.444444444444443,60.2,56.76,85.6,2.2,,95.0,,0.0,0.0,,4.3,15.0,1013.1,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
25,2019-01-25,Adilabad,19.66666666666667,26.666666666666668,23.166666666666668,67.0,79.76,85.0,2.2,,140.0,,0.0,0.0,,4.3,60.0,1012.8,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
26,2019-01-26,Adilabad,18.833333333333336,24.33333333333333,21.611111111111114,59.7,69.52,84.39999999999999,2.2,,95.0,,0.0,0.0,,4.3,70.0,1016.9,"Light Rain, Sky Coverage Increasing",19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
27,2019-01-27,Adilabad,17.333333333333336,21.333333333333336,19.33333333333333,60.7,80.95,83.8,3.4,,95.0,,0.0,0.0,,4.3,100.0,1017.4,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Overcast
28,2019-01-28,Adilabad,16.833333333333332,23.83333333333334,20.33333333333333,52.4,57.03,83.2,2.2,,50.0,,0.0,0.0,,4.3,0.0,1018.9,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
29,2019-01-29,Adilabad,16.055555555555557,23.333333333333336,19.72222222222222,41.9,40.07,82.60000000000001,2.2,,140.0,,0.0,0.0,,4.3,0.0,1020.3,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
