Location_ID,Date,AQI,NO2,SO2,PM2.5,PM10
0,2020-01-12,155,11.5325,14.1191666666667,64.3166666666667,71.2445833333333
1,2020-01-12,175,17.6775,7.00166666666667,101.994166666667,115.704583333333
2,2020-01-12,160,6.39583333333333,3.27458333333333,75.0475,81.2508333333333
3,2020-01-12,160,9.45541666666667,10.2591666666667,74.22,87.46875
4,2020-01-12,168,15.1779166666667,6.45833333333333,88.81125,98.9579166666667
0,2020-02-12,174,14.9,26.2466666666667,101.804166666667,110.420416666667
1,2020-02-12,186,26.8183333333333,23.3170833333333,123.861666666667,138.900416666667
2,2020-02-12,157,4.98458333333333,2.16375,68.7770833333333,73.6704166666667
3,2020-02-12,178,12.8475,12.4166666666667,108.79875,124.928333333333
4,2020-02-12,177,13.95875,8.04416666666667,106.626666666667,116.181666666667
0,2020-03-12,179,15.1008333333333,22.1891666666667,110.429166666667,119.453333333333
1,2020-03-12,196,26.6179166666667,28.34,142.815833333333,158.2175
2,2020-03-12,185,6.56916666666667,5.45333333333333,121.830833333333,129.350833333333
3,2020-03-12,181,12.6054166666667,12.5583333333333,115.120833333333,131.2725
4,2020-03-12,182,12.5708333333333,6.36666666666667,115.64625,125.28125
0,2020-04-12,177,14.9970833333333,24.1116666666667,106.7475,115.307083333333
1,2020-04-12,193,23.7229166666667,22.01375,136.691666666667,149.933333333333
2,2020-04-12,186,6.18291666666667,3.22,123.619166666667,130.14625
3,2020-04-12,187,12.0795833333333,11.6808333333333,124.752916666667,140.264583333333
4,2020-04-12,184,20.2441666666667,7.13916666666667,120.08875,131.90125
0,2020-05-12,164,11.06375,16.1933333333333,81.3229166666667,88.0816666666667
1,2020-05-12,188,19.4391666666667,10.3233333333333,126.714583333333,138.909166666667
2,2020-05-12,180,4.60208333333333,3.63875,112.929166666667,119.242083333333
3,2020-05-12,173,11.3020833333333,11.04875,99.36375,111.8025
4,2020-05-12,187,12.6716666666667,3.7475,126.015833333333,136.101666666667
0,2020-06-12,156,10.04375,10.5358333333333,67.5495833333333,72.92875
1,2020-06-12,192,18.67625,7.3975,135.619583333333,147.329583333333
2,2020-06-12,174,3.68041666666667,2.43125,101.22625,106.265833333333
3,2020-06-12,179,8.19,11.07,110.572083333333,121.18375
4,2020-06-12,182,15.9370833333333,2.78958333333333,116.809583333333,125.835416666667
0,2020-07-12,180,15.52125,32.11875,112.941666666667,121.047083333333
1,2020-07-12,184,26.5208333333333,16.5241666666667,120.708333333333,134.083333333333
2,2020-07-12,166,4.16791666666667,2.90708333333333,86.2366666666667,91.6633333333333
3,2020-07-12,188,12.1883333333333,8.91333333333333,127.913333333333,143.031666666667
4,2020-07-12,169,12.32375,4.86291666666667,91.8533333333333,100.636666666667
0,2020-08-12,182,13.3541666666667,12.0283333333333,116.970833333333,125.91875
1,2020-08-12,171,19.9220833333333,6.66375,96.2008333333333,109.324166666667
2,2020-08-12,164,6.00958333333333,5.71458333333333,82.2495833333333,88.5425
3,2020-08-12,188,11.4716666666667,11.4104166666667,127.31375,142.144166666667
4,2020-08-12,163,16.5020833333333,6.90416666666667,79.74375,89.2591666666667
0,2020-09-12,178,14.865,28.1095833333333,108.69625,116.8
1,2020-09-12,160,20.9204166666667,7.97041666666667,75.2025,86.4279166666667
2,2020-09-12,171,8.7725,6.12208333333333,95.1520833333333,102.459583333333
3,2020-09-12,162,10.8183333333333,6.92166666666667,77.4091666666667,89.5595833333333
4,2020-09-12,165,20.2754166666667,7.56125,84.1716666666667,95.1004166666667
0,2020-10-12,179,14.0566666666667,26.4945833333333,110.594583333333,119.695
1,2020-10-12,165,20.37125,7.98,84.72875,96.39875
2,2020-10-12,192,10.19625,8.90833333333333,134.9375,145.335
3,2020-10-12,166,10.8666666666667,14.4125,86.0541666666667,98.0979166666667
4,2020-10-12,168,13.9566666666667,5.94458333333333,90.3133333333333,98.82375
0,2020-11-12,173,14.5970833333333,16.365,98.5554166666667,107.427083333333
1,2020-11-12,177,13.4191666666667,5.54041666666667,105.998333333333,116.549166666667
2,2020-11-12,197,8.185,5.51958333333333,144.795416666667,155.30625
3,2020-11-12,172,6.77458333333333,4.8775,97.2391666666667,106.511666666667
4,2020-11-12,182,10.5641666666667,5.05833333333333,116.5125,126.035
0,2020-11-25,225,10.6266666666667,19.4216666666667,144.431111111111,152.177222222222
1,2020-11-25,183,21.0127777777778,16.3238888888889,118.125,129.295555555556
2,2020-11-25,160,3.10388888888889,1.76333333333333,73.8466666666667,78.185
3,2020-11-25,196,6.36722222222222,6.65277777777778,112.077222222222,121.744444444444
4,2020-11-25,164,15.2222222222222,3.52333333333333,81.2083333333333,89.9455555555556
0,2020-11-26,203,10.84375,18.9083333333333,153.727083333333,159.732083333333
1,2020-11-26,165,14.3575,12.8745833333333,84.0325,91.02375
2,2020-11-26,133,1.81291666666667,0.740416666666667,48.4970833333333,49.3583333333333
3,2020-11-26,182,6.56958333333333,8.70833333333333,116.275833333333,123.022083333333
4,2020-11-26,123,6.6775,1.12416666666667,44.7625,47.9395833333333
0,2020-11-27,187,18.6145833333333,39.19125,126.05375,129.976666666667
1,2020-11-27,187,17.315,27.9441666666667,126.63875,129.767916666667
2,2020-11-27,67,1.50291666666667,0.315,19.9966666666667,20.4133333333333
3,2020-11-27,179,6.89416666666667,15.2891666666667,109.832083333333,112.41125
4,2020-11-27,153,2.56791666666667,0.880833333333333,61.8266666666667,63.0133333333333
0,2020-11-28,159,9.71166666666667,20.1229166666667,71.88125,75.3825
1,2020-11-28,165,5.58875,5.7075,83.9366666666667,86.1845833333333
